Index,Model,Triples,Output,Fluency,Grammaticality,No Addition,No Omission,Notes
19,AGENT,"Abraham_A._Ribicoff | deathPlace | United_States
 Abraham_A._Ribicoff | birthPlace | United_States
 United_States | ethnicGroup | African_Americans",Abraham A. Ribicoff was born and died in the United States. African Americans are one of the ethnic groups in the United States.,5,7,7,7,"was born and died, repitition"
52,AGENT,"Olga_Bondareva | deathPlace | Saint_Petersburg
 Olga_Bondareva | birthDate | 1937-04-27
 Olga_Bondareva | knownFor | Bondareva–Shapley_theorem
 Olga_Bondareva | birthName | ""Olga Nikolaevna Bondareva""","Olga Nikolaevna Bondareva was born on April 27, 1937. She is known for the Bondareva–Shapley theorem. She passed away in Saint Petersburg.",7,7,7,6,Omission: No mention of her birthname
437,AGENT,"Alan_Shepard | deathPlace | California
 Alan_Shepard | birthPlace | New_Hampshire
 California | senators | Dianne_Feinstein",Alan Shepard was born in New Hampshire and died in California. Dianne Feinstein is one of the senators representing California.,7,6,7,7,was
783,AGENT,"Bootleg_Series_Volume_1:_The_Quine_Tapes | artist | The_Velvet_Underground
 Bootleg_Series_Volume_1:_The_Quine_Tapes | runtime | 230.05
 Bootleg_Series_Volume_1:_The_Quine_Tapes | recordedIn | United_States",Bootleg Series Volume 1: The Quine Tapes is an album by The Velvet Underground. It was recorded in the United States and has a runtime of 230.05 minutes.,7,7,6,7,album
814,AGENT,"Piotr_Hallmann | weight | 70.308
 Piotr_Hallmann | birthDate | 1987-08-25
 Piotr_Hallmann | birthPlace | Gdynia,_Poland
 Gdynia,_Poland | areaTotal | 135000000.0
 Gdynia,_Poland | foundingDate | 1926-02-10","Piotr Hallmann was born on August 25, 1987, in Gdynia, Poland. Gdynia itself was founded on February 10, 1926, and has a total area of 135,000,000.0. Piotr Hallmann's weight is 70.308.",5,7,7,7,Though the weight and length metric were not provided in the triples.
1105,AGENT,"Expect_a_Miracle | genre | Instrumental_music
 Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)","""Expect a Miracle"" is an instrumental music album that was followed by ""Afterplay (Brian Kelly album).""",6,7,7,7,Fluency: Presented Afterplay as it was in the triple
1169,AGENT,"Ciudad_Ayala | populationDensity | 1604.0
 Ciudad_Ayala | leaderTitle | Governator
 Ciudad_Ayala | isPartOf | Morelos
 Ciudad_Ayala | country | Mexico","Ciudad Ayala is located in the state of Morelos, Mexico. The city has a population density of 1604.0 people per square kilometer, and its leader holds the title of Governator.",7,7,6,7,State wasn't mentioned in the triples but i infer that state can be anywhere/place.
1422,AGENT,"Ciudad_Ayala | country | Mexico
 Mexico | leaderTitle | ""President of the Senate""","Ciudad Ayala is a city located in Mexico, where the official leader title is ""President of the Senate.""",06-Jul,7,6,7,"The triples didn't state if it was a city
Fluency: Some abiguity whether the ""President of the Senate"" is the leader of Ayala"
1437,AGENT,"McVeagh_of_the_South_Seas | director | Cyril_Bruce
 McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878)
 McVeagh_of_the_South_Seas | writer | Harry_Carey_(actor_born_1878)
 McVeagh_of_the_South_Seas | producer | The_Progressive_Motion_Picture_Company
 McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation","McVeagh of the South Seas was directed by Cyril Bruce and Harry Carey, who also wrote the film. The production was handled by The Progressive Motion Picture Company, and the film was distributed by Alliance Films Corporation.",06-Jul,7,7,6,"birth date, misleading"
1443,AGENT,"Nord_(Year_of_No_Light_album) | genre | Sludge_metal
 Nord_(Year_of_No_Light_album) | producer | Year_of_No_Light","Nord is an album by Year of No Light. Its genre is sludge metal, and it was produced by Year of No Light.",6,7,7,7,repitition
1517,AGENT,"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania
 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania
 11th_Mississippi_Infantry_Monument | category | Contributing_property
 Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania","The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania, within the municipality of Gettysburg. It is classified as a contributing property. Adams County is bordered to the north by Cumberland County, Pennsylvania.",7,7,6,7,bordered
1520,AGENT,"Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
 Expect_a_Miracle | runtime | 54.56
 Expect_a_Miracle | type | Compilation_Album","Expect a Miracle is a compilation album produced by Brian Kelly, the composer and pianist, with a runtime of 54.56 minutes.",6,7,7,7,
1541,AGENT,"Expect_a_Miracle | runtime | 54.56
 Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)",Expect a Miracle has a runtime of 54.56 minutes and was preceded by the album Pools of Light by Brian Kelly.,6,6,7,7,Name should be in quotes
1552,AGENT,"1147_Stavropolis | apoapsis | 418476000000.0
 1147_Stavropolis | orbitalPeriod | 1249.6
 1147_Stavropolis | discoverer | Grigory_Neujmin
 1147_Stavropolis | absoluteMagnitude | 11.5
 1147_Stavropolis | discovered | 1929-06-11
 1147_Stavropolis | rotationPeriod | 20378.5
 1147_Stavropolis | periapsis | 260855000000.0","1147 Stavropolis was discovered by Grigory Neujmin on June 11, 1929. This celestial body has an absolute magnitude of 11.5, an orbital period of 1249.6, and a rotation period of 20378.5. Its orbit ranges from a periapsis of 260,855,000,000.0 to an apoapsis of 418,476,000,000.0.",7,7,6,7,Where is the units?
1566,AGENT,"Kingdom_of_England | capital | Winchester
 Lady_Anne_Monson | nationality | Kingdom_of_England","Winchester was the capital of the Kingdom of England, which was also the nationality of Lady Anne Monson.",6,7,7,7,Fluency: Polysemy of Kingdom of England adds confusion here
1733,AGENT,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca
 Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C
 Campeonato_Brasileiro_Série_C | country | Brazil
 Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
 Agremiação_Sportiva_Arapiraquense | fullName | ""Agremiação Sportiva Arapiraquense""","Agremiação Sportiva Arapiraquense plays its home games at Estádio Municipal Coaracy da Mata Fonseca, which is located in Arapiraca. The club competes in the Campeonato Brasileiro Série C, a league based in Brazil.",7,7,7,6,fullname (even though it is the same as the original name)
1733,AGENT,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca
 Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C
 Campeonato_Brasileiro_Série_C | country | Brazil
 Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
 Agremiação_Sportiva_Arapiraquense | fullName | ""Agremiação Sportiva Arapiraquense""","Agremiação Sportiva Arapiraquense plays its home games at Estádio Municipal Coaracy da Mata Fonseca, which is located in Arapiraca. The club competes in the Campeonato Brasileiro Série C, a league based in Brazil.",7,7,7,6,Omission: No mention of full name
769,E2E,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""
 All_India_Council_for_Technical_Education | location | Mumbai
 Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""
 Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University
 Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education
 Acharya_Institute_of_Technology | numberOfPostgraduateStudents | 700","Acharya Institute of Technology is located on its campus at ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" The institute is affiliated with Visvesvaraya Technological University and has 700 postgraduate students. Its director is Dr. G. P. Prabhukumar. Acharya Institute of Technology was granted technical campus status by the All India Council for Technical Education, which is based in Mumbai.",6,7,7,7,on its campus' does not seem fluent
1733,E2E,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca
 Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C
 Campeonato_Brasileiro_Série_C | country | Brazil
 Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
 Agremiação_Sportiva_Arapiraquense | fullName | ""Agremiação Sportiva Arapiraquense""","Agremiação Sportiva Arapiraquense, whose full name is ""Agremiação Sportiva Arapiraquense,"" plays its home games at Estádio Municipal Coaracy da Mata Fonseca, which is located in Arapiraca. The team competes in the Campeonato Brasileiro Série C, a league based in Brazil.",6,7,7,7,
1661,E2E,"Alan_Shepard | birthDate | ""1923-11-18""
 Alan_Shepard | nationality | United_States
 Alan_Shepard | deathPlace | California
 Alan_Shepard | birthPlace | New_Hampshire
 Alan_Shepard | status | ""Deceased""","Alan Shepard was born on November 18, 1923, in New Hampshire, United States. He later passed away in California and is now deceased.",7,7,7,6,It omitted his nationality
745,E2E,"Alan_Shepard | birthDate | ""1923-11-18""
 Alan_Shepard | nationality | United_States
 Alan_Shepard | servedAsChiefOfTheAstronautOfficeIn | 1963
 Alan_Shepard | deathPlace | California
 Alan_Shepard | selectedByNasa | 1959
 Alan_Shepard | birthPlace | New_Hampshire
 Alan_Shepard | almaMater | ""NWC, M.A. 1957""","Alan Shepard was born on November 18, 1923, in New Hampshire, United States. He was selected by NASA in 1959 and served as Chief of the Astronaut Office in 1963. Shepard earned his M.A. from NWC in 1957. He passed away in California.",7,7,7,6,It omitted his nationality
1105,E2E,"Expect_a_Miracle | genre | Instrumental_music
 Expect_a_Miracle | followedBy | Afterplay_(Brian_Kelly_album)","""Expect a Miracle"" is an instrumental music album, which was followed by ""Afterplay,"" another album by Brian Kelly.",7,7,6,7,Addition: Assumes Expect a Miracle was a Brian Kelly album
